taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,scientific_name,growth_form,gf_code,pigment_type,height_class
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,Amphiroa_beauvoisii,articulated_calcareous,AC,red,turf
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,Acrosorium_ciliolatum,corticated_foliose,CF,red,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Cryptopleura_ruprechtiana,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,-99999,Lessoniaceae,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,Bossiella_orbigniana,articulated_calcareous,AC,red,
Rhodophyta,Rhodophyceae,-99999,-99999,-99999,Rhodophyceae,unc_red,,red,
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,Calliarthron_cheilosporioid,articulated_calcareous,AC,red,
Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Chondracanthus,leathery_macrophyte,LM,red,
Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis_flabellulata,corticated_macrophytes,CM,red,
Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora_graminea,filamentous_algae,FA,green,
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Stephanocystis,Stephanocystis_osmundacea,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina_officinalis,articulated_calcareous,AC,red,
Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,Codium_fragile,corticated_foliose,CF,green,
Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,Colpomenia,Colpomenia,cushion,C,brown,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Cryptopleura,corticated_foliose,CF,red,
Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Chondracanthus_spinosus,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia_ligulata,corticated_macrophytes,CM,brown,
Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis_pyrifera,leathery_macrophyte,LM,brown,
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,Dictyota,corticated_foliose,CF,brown,
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris,Dictyopteris_undulata,corticated_foliose,CF,brown,
Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,Eisenia_arborea,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Corallinales,-99999,-99999,Corallinales,unc_calcareous,NA,red,
Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,Egregia_menziesii,leathery_macrophyte,LM,brown,
Rhodophyta,-99999,-99999,-99999,-99999,Rhodophyta,unc_red,NA,red,
Rhodophyta,Florideophyceae,Rhodymeniales,Faucheaceae,Gloiocladia,Gloiocladia,corticated_foliose,CF,red,
Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,-99999,Ectocarpaceae,filamentous_algae,FA,brown,
Chlorophyta,-99999,-99999,-99999,-99999,Chlorophyta,unc_green,NA,green,
Rhodophyta,Florideophyceae,Ceramiales,-99999,-99999,Ceramiales,unc_red,NA,red,
Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,Gelidium_robustum,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,Gracilaria,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Gymnogongrus,Gymnogongrus,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Halosaccion,Halosaccion_glandiforme,cushion,C,red,
Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Iridaea,Iridaea,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria_farlowii,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Lithothrix,Lithothrix,articulated_calcareous,AC,red,
Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,Laurencia,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,Osmundea_spectabilis,corticated_foliose,CF,red,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Nienburgia,Nienburgia_andersoniana,corticated_foliose,CF,red,
Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Agardhiella,Agardhiella_subulata,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,Pterygophora_californica,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,Phycodrys_setchellii,foliose,F,red,
Tracheophyta,Magnoliopsida,Alismatales,Cymodoceaceae,Phyllospadix,Phyllospadix_torreyi,vascular_plant,VP,,
Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Prionitis,Prionitis_lanceolata,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Polyneura,Polyneura_latissima,corticated_foliose,CF,red,
Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Prionitis,Prionitis_linearis,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Rhodymenia,Rhodymenia_californica,corticated_macrophytes,CM,red,
Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Sarcodiotheca,Sarcodiotheca_furcata,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum_horneri,leathery_macrophyte,LM,brown,
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum_muticum,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Nemaliales,Scinaiaceae,Scinaia,Scinaia_confusa,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,Scytosiphon,Scytosiphon_lomentaria,corticated_macrophytes,CM,brown,
Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Stenogramma,Stenogramma_californica,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Taonia,Taonia_lennebackerae,corticated_foliose,CF,brown,
Ochrophyta,Phaeophyceae,-99999,-99999,-99999,Phaeophyceae,unc_brown,NA,brown,
Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva,foliose,F,green,
Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Zostera,Zostera_marina,vascular_plant,VP,,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Anisocladella,Anisocladella_pacifica,corticated_macrophytes,CM,red,